strain,rep,hpi,source,target,weight,tx,ty,px_size_x_source,px_size_y_source,px_size_x_target,px_size_y_target,warning
PR8,0,3,7,8,2.575190110868532e-09,3.914454494018617e-07,6.042121600912604e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,3,8,9,3.490473935849691e-09,-7.508625728732247e-07,3.013337005014648e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,4,0,5,3.8598971848285594e-09,-5.101869756672198e-07,3.216216953075292e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,4,0,1,2.816809639612083e-09,9.250100117123165e-07,5.789808821848307e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,4,1,4,3.8807907694961925e-09,-8.606444767834616e-07,1.1966839645045836e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,4,1,2,2.818186094570142e-09,4.1626476863480035e-07,6.996791262120106e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,4,2,3,3.861856523501052e-09,-6.065807874195673e-07,-3.810439716895219e-09,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,4,6,7,1.997322637490835e-09,5.149242794308395e-07,5.491152287993965e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,4,7,8,1.9973035749944174e-09,2.783680725317207e-07,7.720774378643895e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,4,7,10,2.005238902225579e-10,2.022797720544845e-05,5.046257806447149e-09,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,4,10,11,2.052297620720748e-09,-6.198658530788293e-07,-6.240882207773368e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558931068e-07,pixel sizes differ between source_img and target_img
PR8,0,4,10,9,1.9198142522287082e-09,2.512830542550904e-07,7.356208385591469e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,5,0,5,3.5871893515436254e-09,-4.085409240861402e-07,7.743431369080812e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,5,1,4,3.5871893515436254e-09,-9.258338308452866e-07,1.1310826517692676e-06,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,5,4,5,2.5375913718091625e-09,-9.135786864232552e-07,-7.768147907350153e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,5,4,3,2.493590793280668e-09,6.797000390273069e-07,6.621926056695375e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,5,2,3,3.5682444996679427e-09,-7.097716471959837e-07,5.486003418412902e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,5,6,11,3.5926653605310832e-09,-5.75891314901163e-07,5.086422165788889e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,5,6,7,2.5388299606201024e-09,7.23571599813352e-07,6.043151374828817e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,5,7,10,3.5926653605310832e-09,-7.230566637482397e-07,4.0926181493449494e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,5,7,8,2.5388507223658855e-09,6.347986552180434e-07,5.906181622571346e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,5,8,9,3.5926653605310832e-09,-8.07710218036662e-07,8.06886349796686e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,6,0,5,3.6301536904513354e-09,-6.607508239728278e-07,4.037006552076506e-08,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,6,0,1,3.2182610716900185e-09,4.40672178301254e-07,5.75891314901163e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,6,1,4,3.610827016577718e-09,-6.847463240727965e-07,5.159541147308096e-08,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,6,4,3,3.2609603467518925e-09,4.356259423627705e-07,7.708416600579284e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,6,2,3,3.610827016577718e-09,-5.737286423560986e-07,2.533427524777214e-08,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,6,6,11,3.6494796671474963e-09,-5.966942703258427e-07,4.781586988437271e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,6,7,10,3.6476475990415073e-09,-7.546730310052472e-07,5.701241881143247e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,6,7,8,3.196911434158362e-09,8.38296737716948e-08,6.433464171136857e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
