strain,rep,hpi,source,target,weight,tx,ty,px_size_x_source,px_size_y_source,px_size_x_target,px_size_y_target,warning
PR8,1,8,7,8,2.019330845110107e-09,-5.445596356657946e-07,-5.877901346496909e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,1,8,8,9,2.017012826776241e-09,-8.725541540078505e-07,-4.56344684993318e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,2,1,0,1,3.212278032848842e-11,,,1.0317537860529691e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,x-overlap is just one pixel
PR8,2,1,1,2,3.214094951164222e-11,,,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,x-overlap is just one pixel
PR8,2,1,2,3,3.212278032848842e-11,,,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,x-overlap is just one pixel
PR8,2,1,3,4,1.3391847882885561e-11,,,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,overlap is smaller than pixel size
PR8,2,1,5,6,3.2159262758667293e-11,,,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,x-overlap is just one pixel
PR8,2,1,6,7,1.3384251826861295e-11,,,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,overlap is smaller than pixel size
PR8,2,1,7,8,1.3394824953359746e-11,,,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860529691e-07,1.0317537860182746e-07,overlap is smaller than pixel size
PR8,2,2,0,9,2.7920019376410635e-09,-4.1455868421037627e-07,7.449262118581384e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,2,2,1,8,2.7920019376410635e-09,-4.81622690141135e-07,7.087116713103733e-07,1.0317537860182746e-07,1.0317537860529691e-07,1.0317537860182746e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,2,2,2,7,2.811429352359982e-09,-4.638764829082574e-07,6.512429688748447e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,2,2,3,6,2.811429352359982e-09,-5.802583367347515e-07,7.980615672605346e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,2,2,4,5,2.829305612685343e-09,-5.634407390023343e-07,7.122196258937643e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,2,3,0,1,6.519267222388743e-10,9.317768583220858e-07,5.792265593337632e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,2,3,1,2,6.721940312839815e-10,9.807851041205287e-07,8.191093441017246e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,2,3,8,7,7.347449307016282e-10,1.1262624706015007e-06,5.329008265426105e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860876635e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,2,3,8,9,7.139910553600061e-10,-7.123227937942923e-07,-6.78687647527312e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,2,3,2,3,6.729118038734319e-10,1.1766120467003702e-06,5.667423578085009e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,2,3,7,6,7.551592960801778e-10,1.0443411555143002e-06,7.400769761483435e-07,1.0317537860876635e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,2,3,3,4,6.93241007984672e-10,9.43229331644214e-07,5.508533203786898e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,2,3,6,5,7.363082177882121e-10,8.57387439475298e-07,6.682669516061722e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860876635e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,2,3,4,5,7.335724653853202e-10,-5.968695494682585e-07,7.231562105153983e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860876635e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,2,4,0,9,1.7858783966806424e-09,-9.529278030638038e-07,1.0868494791242652e-06,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,2,4,1,8,1.844610786606359e-09,-8.977289912551395e-07,1.064873092782615e-06,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,2,4,8,7,5.893333393940353e-10,6.749733079211792e-07,5.840758442414123e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,2,4,8,9,5.887021261788604e-10,-7.557596285792444e-07,-6.62592274296445e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,2,4,2,7,1.844610786606359e-09,-8.142601083919297e-07,1.181977171110659e-06,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,2,4,7,6,5.693796117984632e-10,7.15314908898875e-07,5.67361414409523e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,2,4,3,6,1.904298191716119e-09,-8.158077252955579e-07,1.1980724459458176e-06,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,2,4,6,5,5.699696424828758e-10,9.879042304333562e-07,6.372111504459543e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,2,4,4,5,1.904298191716119e-09,-7.706168886080673e-07,1.271017514185214e-06,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,2,5,0,9,2.882273473016791e-09,-5.475517507703774e-07,8.050774764749798e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,2,5,0,1,6.070622469069177e-10,4.441699871696397e-07,7.019020978731524e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,2,5,1,8,2.8394008717770523e-09,-4.048601881918594e-07,8.239585798115195e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,2,5,1,2,6.067360957762279e-10,-3.095261288870341e-09,-7.064418298813633e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,2,5,2,7,2.879192475183559e-09,-6.361793730449659e-07,6.09560135992431e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,2,5,7,6,6.07653077281191e-10,-1.4661221338677966e-06,5.471390299704112e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,2,5,3,6,2.900639420962178e-09,-7.634978114930941e-07,1.3165178545742885e-06,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,2,5,6,5,5.870805323710898e-10,-1.3837881471082488e-06,3.5337566679147363e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,2,5,4,5,2.918984078591404e-09,-6.054331247841862e-07,5.873774138497247e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,2,6,0,1,1.6377282779038911e-09,8.264348062156081e-07,7.05306884579847e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,2,6,1,2,1.6602209274490024e-09,9.663406140895264e-07,5.845916837440522e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,2,6,8,9,1.7007780019303335e-09,-9.143402531865008e-07,-7.158307975993692e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,2,6,8,7,1.6818564576194927e-09,8.644033486897432e-07,5.646788522043786e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860876635e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,2,6,2,3,1.6619839943428716e-09,5.601391201961676e-07,6.490762953701943e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,2,6,7,6,1.7026028710310993e-09,8.741018201681193e-07,8.408792962466104e-07,1.0317537860876635e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,2,6,3,4,1.682739004802759e-09,1.1241989157995239e-06,4.864719258509299e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860876635e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,2,6,6,5,1.684542583586024e-09,3.7628061343573003e-07,7.53696122975122e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860876635e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,2,6,4,5,5.274880058440151e-10,-4.0248715431429454e-07,2.600019582584228e-08,1.0317537860876635e-07,1.0317537860182746e-07,1.0317537860876635e-07,1.0317537860182746e-07,
PR8,2,7,0,1,1.8646901245352235e-09,8.161172289971418e-07,5.789170556321792e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,2,7,1,8,1.8871985370867215e-09,-8.79673280320678e-07,8.063155896770241e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860876635e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,2,7,8,7,1.8881748425910524e-09,1.1376117269017548e-06,5.276388700328494e-07,1.0317537860876635e-07,1.0317537860182746e-07,1.0317537860876635e-07,1.0317537860182746e-07,
PR8,2,7,8,9,1.886222231585224e-09,-6.399968805946687e-07,-6.053299568836582e-07,1.0317537860876635e-07,1.0317537860182746e-07,1.0317537860876635e-07,1.0317537860182746e-07,
PR8,2,7,2,7,1.8862222315838407e-09,-8.513000905634588e-07,7.176879182045813e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860876635e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,2,7,7,6,1.8901474283489935e-09,9.664437328571967e-07,6.046077323821081e-07,1.0317537860876635e-07,1.0317537860182746e-07,1.0317537860876635e-07,1.0317537860182746e-07,
PR8,2,7,3,6,1.9077756289499575e-09,-8.416015207481604e-07,7.001480959706139e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860876635e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,2,7,6,5,1.8911037590996966e-09,6.591874876340829e-07,7.552437890766046e-07,1.0317537860876635e-07,1.0317537860182746e-07,1.0317537860876635e-07,1.0317537860182746e-07,
PR8,2,7,4,5,1.928352720813194e-09,-1.0240156523022793e-06,1.8383789777925913e-06,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860876635e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,2,8,0,9,2.9602670215005215e-09,-4.629479226056513e-07,6.89624232148946e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,2,8,0,1,2.0013788239060565e-09,1.0620873134790882e-06,6.274094619279822e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,2,8,1,8,2.941187847918902e-09,-5.769567179285848e-07,8.828717312263166e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,2,8,1,2,2.0013583435917095e-09,8.122997706883353e-07,5.768535500280569e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,2,8,2,7,2.941187847918902e-09,-6.073934624877807e-07,7.234657634148365e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,2,8,2,3,1.9590970633566854e-09,4.0289985048826497e-07,6.905527924515522e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,2,8,3,6,2.9190702571390493e-09,-6.430921143588832e-07,7.175847503040534e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,2,8,6,5,1.957143621709854e-09,6.457746765640277e-07,5.909885855553295e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,2,8,4,5,2.9175616936986817e-09,-6.7136218545858e-07,7.772201262204006e-07,1.0317537860876635e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,3,0,0,9,1.011468235274194e-09,-8.946336590521744e-07,1.05135706465851e-06,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,0,0,1,2.5754814102625154e-10,-1.1184210951881959e-07,3.2231988039061198e-06,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,0,1,8,1.2778839318755548e-09,-8.121966027878073e-07,1.0358807972265193e-06,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,0,8,7,2.7780587812699586e-10,8.542921441707237e-08,1.249133993713395e-05,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,0,2,7,1.3371242403178258e-09,-8.542921072723329e-07,1.002451937562741e-06,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,0,7,6,2.7840948615220914e-10,4.4984466447936696e-07,5.478612544719613e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,0,3,6,1.396364548761425e-09,-6.824019379355906e-07,1.3732643324844353e-06,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,0,3,4,2.5890152064278965e-10,-2.9982763978696546e-07,7.123227937942923e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,0,4,5,1.455604857203696e-09,-7.31719785831326e-07,1.1579372299670321e-06,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,1,0,9,2.8479005224005363e-09,-6.824019379355906e-07,1.1638182431169507e-06,1.0317537860182746e-07,1.0317537860529691e-07,1.0317537860182746e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,3,1,1,8,3.121523682906332e-09,-6.974655829633238e-07,1.0500158327537921e-06,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,1,2,7,2.9440187098539813e-09,-7.606089134868936e-07,1.179913616348359e-06,1.0317537860182746e-07,1.0317537860529691e-07,1.0317537860182746e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,3,1,3,6,3.2583352631592295e-09,-6.237983394202317e-07,9.9667414155034e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,1,4,5,3.004256614117946e-09,-5.30115096436938e-07,1.2108662495683724e-06,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,2,0,9,2.7938246138031385e-09,-3.414073293677784e-07,9.027845627963479e-07,1.0317537860182746e-07,1.0317537860529691e-07,1.0317537860182746e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,3,2,8,1,2.757667556484851e-09,6.194649924525921e-07,-7.230530426148704e-07,1.0317537860876635e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,3,2,8,9,3.617233014914365e-11,,,1.0317537860876635e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,x-overlap is just one pixel
PR8,3,2,8,7,1.5040192175617612e-11,,,1.0317537860876635e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,overlap is smaller than pixel size
PR8,3,2,7,2,2.6959423790980145e-09,5.449723564657608e-07,-4.7460673172883547e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,2,3,6,2.6372130382757297e-09,-5.786075027327411e-07,7.983710709889651e-07,1.0317537860182746e-07,1.0317537860529691e-07,1.0317537860182746e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,3,2,4,5,2.5589072505113674e-09,-5.155673893075534e-07,7.937281710533796e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,3,0,9,3.953306003393138e-09,-7.448230439576104e-07,1.0523888420594984e-06,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,3,7,8,2.5068482401936503e-09,-1.01720607888889e-06,-6.128617547985977e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,4,0,1,2.8989852481834674e-09,5.587978390935953e-07,6.420603861557492e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,4,1,2,2.900578972893833e-09,6.254491242243878e-07,6.83227379535523e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,4,2,3,2.9021914858395893e-09,7.611247529895334e-07,8.077600386801244e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,4,3,4,2.885954022624271e-09,1.0439284838419528e-06,5.561152768884508e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,4,5,6,2.9652041804139498e-09,-9.597373764771931e-07,-5.026704670161313e-07,1.0317537860182746e-07,1.0317537860876635e-07,1.0317537860876635e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,3,4,6,7,2.984639769162774e-09,-6.527906350202296e-07,-6.542350839794275e-07,1.0317537860876635e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,3,4,7,8,2.9619528600406113e-09,-5.780916632301011e-07,-5.407421773569881e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860876635e-07,pixel sizes differ between source_img and target_img
PR8,3,4,8,9,2.9603271998541062e-09,-6.792035362278062e-07,-6.092506323318212e-07,1.0317537860182746e-07,1.0317537860876635e-07,1.0317537860182746e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,3,5,0,1,2.9961107391823757e-09,4.2528893303095436e-07,4.917338331628366e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,5,1,2,3.059921593677149e-09,3.327405861513227e-07,5.232023551230207e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,5,1,8,1.4245431209610333e-10,-1.9880862773930645e-06,1.994380035902741e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,5,8,9,3.1599062868851694e-09,-5.724169859203738e-07,-6.099728567923972e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,5,8,7,3.1547547660239724e-09,8.803955048222281e-07,5.534327146833063e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860876635e-07,pixel sizes differ between source_img and target_img
PR8,3,5,2,3,3.110426827136181e-09,1.8295058495772254e-06,2.57938450348151e-09,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,5,7,6,3.1905498879446535e-09,1.3283829994985286e-06,5.828377310785658e-07,1.0317537860182746e-07,1.0317537860876635e-07,1.0317537860182746e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,3,5,3,4,3.1479114801987253e-09,8.949432119516127e-07,6.246237318223098e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,5,5,6,3.18881777617186e-09,-1.2267552869981837e-06,-6.404095521537387e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,6,0,1,2.434976526476172e-09,9.530310201621861e-07,6.092506322908471e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,6,1,2,2.4805526743828795e-09,8.138473875919635e-07,3.9578074877436464e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,6,2,3,2.4703606571089485e-09,4.424160344649555e-07,4.721305545226012e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,6,3,4,2.4985449034158728e-09,9.880074475317386e-07,3.115896291101412e-08,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,6,5,6,2.3536703703999083e-09,-7.10878344791192e-07,-4.325111780464555e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,6,6,7,2.348002153336219e-09,-7.770137904193446e-07,-4.550034038907457e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,6,7,8,2.3204951165227856e-09,-6.600128799918284e-07,-5.769567179285848e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,6,8,9,2.3296533258051213e-09,-1.037944352028496e-06,-4.787337429370802e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,7,0,1,2.4128805992524254e-09,8.25506245913002e-07,5.173213420122375e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,7,1,2,2.399590810021457e-09,5.899568081543412e-07,5.757186047265406e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,7,2,3,2.407729786874212e-09,5.253690286276711e-07,5.181467344143157e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,7,3,4,2.432063068525298e-09,9.074274626747292e-07,5.485834789735114e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,7,5,6,2.3010926313239484e-09,-9.214592811036196e-07,-3.988760071805482e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860876635e-07,pixel sizes differ between source_img and target_img
PR8,3,7,6,7,2.278331784065821e-09,-5.788138877316512e-07,-4.845115881799205e-07,1.0317537860182746e-07,1.0317537860876635e-07,1.0317537860182746e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,3,7,7,8,2.2719249499397975e-09,-6.555763650819997e-07,-4.811068014406409e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,7,8,9,2.247988588070242e-09,-9.006178892613399e-07,-5.110276572993424e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860876635e-07,pixel sizes differ between source_img and target_img
PR8,3,8,0,1,2.5602562433659445e-09,7.831011393311838e-07,4.924560576643867e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,8,1,2,2.5366625922783383e-09,5.870679101481408e-07,5.462104696678051e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860876635e-07,pixel sizes differ between source_img and target_img
PR8,3,8,2,3,2.5518435722473258e-09,7.486405514642712e-07,3.842251075775489e-07,1.0317537860182746e-07,1.0317537860876635e-07,1.0317537860182746e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,3,8,3,4,2.5490393485428886e-09,9.367293111302631e-07,4.015585693856927e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,8,5,6,2.3813947881991346e-09,-8.991734402582397e-07,-4.1486818793986145e-07,1.0317537860182746e-07,1.0317537860876635e-07,1.0317537860182746e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,3,8,6,7,2.3840073990460737e-09,-7.491564401647654e-07,-5.000910726777084e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,8,7,8,2.387945175779209e-09,-5.250595249260872e-07,-5.277420379333773e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,3,8,8,9,2.391845231590894e-09,-6.62179602694333e-07,-5.461073017672771e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,4,0,0,1,7.113297468469501e-10,7.327515632815944e-07,6.268936224253424e-07,1.0317537860876635e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,4,0,1,2,7.128311491862778e-10,1.2640016049707688e-06,3.6183604960794623e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,4,0,8,7,7.71885942976585e-10,1.3356052445140297e-06,6.280285185290043e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,4,0,8,9,7.706689005038392e-10,-8.347919473347712e-07,-4.864719258509299e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,4,0,2,3,7.339632871569654e-10,-1.6577187497453023e-06,3.153039564168105e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860876635e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,4,0,7,6,7.531519614281763e-10,1.070754105893398e-06,5.396072320554718e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,4,0,3,6,7.943608688008901e-10,-9.281657358767575e-07,1.0434125951414588e-06,1.0317537860876635e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,4,0,6,5,7.73946503422339e-10,6.991163677674799e-07,5.044244196870091e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
